applicant_name,total_patents,total_citations,Avg_Citation_Impact,Zero_Citiation_Rate
"GOOGLE INC",6,4512,128.91,20.0
"MOSAID TECHNOLOGIES INC",10,3045,121.80,0.0
"BURROUGHS CORP",5,816,81.60,0.0
"SANDISK TECHNOLOGIES LLC",18,3182,54.86,0.0
"MICRON TECHNOLOGY INC",72,9873,17.95,2.4
"YANGTZE MEMORY TECH CO LTD",7,224,16.00,0.0
IBM,32,2606,12.77,4.9
"XILINX INC",8,448,9.53,10.6
"SAMSUNG ELECTRONICS CO LTD",35,2233,8.93,10.0
"INTEL CORP",20,850,4.67,3.3
"SPERRY RAND CORP",5,30,2.50,8.3
"SK HYNIX INC",9,316,2.45,50.4
"GOOGLE LLC",18,344,1.67,8.7
"NVIDIA CORP",5,0,0.00,100.0
